,date,predictions
139,2008-01-22 02:04:04.742400,419.82608
140,2008-01-22 05:42:14.342400,414.3938
141,2008-01-22 09:20:23.942400,434.57596
142,2008-01-22 12:58:33.542400,411.95776
143,2008-01-22 16:36:43.142400,420.89737
144,2008-01-22 20:14:52.742400,423.44263
145,2008-01-22 23:53:02.342400,438.06967
146,2008-01-23 03:31:11.942400,397.43134
147,2008-01-23 07:09:21.542400,412.88162
148,2008-01-23 10:47:31.142400,424.30722
149,2008-01-23 14:25:40.742400,414.6685
150,2008-01-23 18:03:50.342400,421.3746
151,2008-01-23 21:41:59.942400,402.80023
152,2008-01-24 01:20:09.542400,419.8589
153,2008-01-24 04:58:19.142400,410.3766
154,2008-01-24 08:36:28.742400,429.0768
155,2008-01-24 12:14:38.342400,408.42892
156,2008-01-24 15:52:47.942400,389.7964
157,2008-01-24 19:30:57.542400,377.12
158,2008-01-24 23:09:07.142400,379.4515
159,2008-01-25 02:47:16.742400,394.55795
160,2008-01-25 06:25:26.342400,378.20905
161,2008-01-25 10:03:35.942400,391.863
162,2008-01-25 13:41:45.542400,368.05423
163,2008-01-25 17:19:55.142400,372.12842
164,2008-01-25 20:58:04.742400,380.07034
165,2008-01-26 00:36:14.342400,379.73184
166,2008-01-26 04:14:23.942400,347.27945
167,2008-01-26 07:52:33.542400,350.2427
168,2008-01-26 11:30:43.142400,358.64075
169,2008-01-26 15:08:52.742400,353.4504
170,2008-01-26 18:47:02.342400,363.03278
171,2008-01-26 22:25:11.942400,370.2415
172,2008-01-27 02:03:21.542400,363.638
173,2008-01-27 05:41:31.142400,335.53464
174,2008-01-27 09:19:40.742400,353.70398
175,2008-01-27 12:57:50.342400,362.0842
176,2008-01-27 16:35:59.942400,362.7168
177,2008-01-27 20:14:09.542400,375.8092
178,2008-01-27 23:52:19.142400,368.9022
179,2008-01-28 03:30:28.742400,368.8303
180,2008-01-28 07:08:38.342400,350.37137
181,2008-01-28 10:46:47.942400,357.05295
182,2008-01-28 14:24:57.542400,367.87537
183,2008-01-28 18:03:07.142400,357.4453
184,2008-01-28 21:41:16.742400,345.59494
185,2008-01-29 01:19:26.342400,357.11237
186,2008-01-29 04:57:35.942400,357.4453
187,2008-01-29 08:35:45.542400,340.30093
188,2008-01-29 12:13:55.142400,348.1379
189,2008-01-29 15:52:04.742400,341.87317
190,2008-01-29 19:30:14.342400,342.85495
191,2008-01-29 23:08:23.942400,340.53516
192,2008-01-30 02:46:33.542400,346.43958
193,2008-01-30 06:24:43.142400,329.59314
194,2008-01-30 10:02:52.742400,328.15067
195,2008-01-30 13:41:02.342400,337.52368
196,2008-01-30 17:19:11.942400,342.61453
197,2008-01-30 20:57:21.542400,346.86746
198,2008-01-31 00:35:31.142400,342.11176
199,2008-01-31 04:13:40.742400,345.5484
200,2008-01-31 07:51:50.342400,355.3892
201,2008-01-31 11:29:59.942400,358.5452
202,2008-01-31 15:08:09.542400,383.53528
203,2008-01-31 18:46:19.142400,410.73016
204,2008-01-31 22:24:28.742400,415.83563
205,2008-02-01 02:02:38.342400,417.8504
206,2008-02-01 05:40:47.942400,425.29413
207,2008-02-01 09:18:57.542400,424.46677
208,2008-02-01 12:57:07.142400,440.49738
209,2008-02-01 16:35:16.742400,489.27097
210,2008-02-01 20:13:26.342400,505.07828
211,2008-02-01 23:51:35.942400,535.0752
212,2008-02-02 03:29:45.542400,549.96735
213,2008-02-02 07:07:55.142400,529.62317
214,2008-02-02 10:46:04.742400,530.8671
215,2008-02-02 14:24:14.342400,563.2908
216,2008-02-02 18:02:23.942400,564.6837
217,2008-02-02 21:40:33.542400,553.44763
218,2008-02-03 01:18:43.142400,546.697
219,2008-02-03 04:56:52.742400,544.5089
220,2008-02-03 08:35:02.342400,602.1303
221,2008-02-03 12:13:11.942400,587.0876
222,2008-02-03 15:51:21.542400,569.36176
223,2008-02-03 19:29:31.142400,558.27594
224,2008-02-03 23:07:40.742400,563.6775
225,2008-02-04 02:45:50.342400,559.93866
226,2008-02-04 06:23:59.942400,525.55273
227,2008-02-04 10:02:09.542400,563.27545
228,2008-02-04 13:40:19.142400,556.5816
229,2008-02-04 17:18:28.742400,557.69
230,2008-02-04 20:56:38.342400,535.62616
231,2008-02-05 00:34:47.942400,543.0592
232,2008-02-05 04:12:57.542400,534.2889
233,2008-02-05 07:51:07.142400,497.7577
234,2008-02-05 11:29:16.742400,499.87027
235,2008-02-05 15:07:26.342400,487.9077
236,2008-02-05 18:45:35.942400,475.68024
237,2008-02-05 22:23:45.542400,482.37628
238,2008-02-06 02:01:55.142400,474.45306
239,2008-02-06 05:40:04.742400,474.66516
240,2008-02-06 09:18:14.342400,461.7222
241,2008-02-06 12:56:23.942400,445.1103
242,2008-02-06 16:34:33.542400,440.8433
243,2008-02-06 20:12:43.142400,436.3678
244,2008-02-06 23:50:52.742400,431.25287
245,2008-02-07 03:29:02.342400,435.08603
246,2008-02-07 07:07:11.942400,441.18048
247,2008-02-07 10:45:21.542400,427.16455
248,2008-02-07 14:23:31.142400,413.9254
249,2008-02-07 18:01:40.742400,412.06894
250,2008-02-07 21:39:50.342400,397.88626
251,2008-02-08 01:17:59.942400,398.25098
252,2008-02-08 04:56:09.542400,417.36563
253,2008-02-08 08:34:19.142400,409.59094
254,2008-02-08 12:12:28.742400,408.73972
255,2008-02-08 15:50:38.342400,402.15848
256,2008-02-08 19:28:47.942400,396.09195
257,2008-02-08 23:06:57.542400,401.05103
258,2008-02-09 02:45:07.142400,414.85098
259,2008-02-09 06:23:16.742400,452.43033
260,2008-02-09 10:01:26.342400,459.1188
261,2008-02-09 13:39:35.942400,453.5171
262,2008-02-09 17:17:45.542400,427.6632
263,2008-02-09 20:55:55.142400,437.1338
264,2008-02-10 00:34:04.742400,477.66104
265,2008-02-10 04:12:14.342400,498.69495
266,2008-02-10 07:50:23.942400,578.89294
267,2008-02-10 11:28:33.542400,587.0289
268,2008-02-10 15:06:43.142400,597.1092
269,2008-02-10 18:44:52.742400,635.8897
270,2008-02-10 22:23:02.342400,631.36163
271,2008-02-11 02:01:11.942400,619.56995
272,2008-02-11 05:39:21.542400,626.1336
273,2008-02-11 09:17:31.142400,594.19653
274,2008-02-11 12:55:40.742400,625.87463
275,2008-02-11 16:33:50.342400,712.52026
276,2008-02-11 20:11:59.942400,732.3002
277,2008-02-11 23:50:09.542400,707.20526
278,2008-02-12 03:28:19.142400,680.49475
279,2008-02-12 07:06:28.742400,693.6237
280,2008-02-12 10:44:38.342400,626.49243
281,2008-02-12 14:22:47.942400,609.5527
282,2008-02-12 18:00:57.542400,590.32855
283,2008-02-12 21:39:07.142400,648.24207
284,2008-02-13 01:17:16.742400,692.983
285,2008-02-13 04:55:26.342400,682.4851
286,2008-02-13 08:33:35.942400,696.8432
287,2008-02-13 12:11:45.542400,657.9288
288,2008-02-13 15:49:55.142400,665.5407
289,2008-02-13 19:28:04.742400,676.6946
290,2008-02-13 23:06:14.342400,688.1645
291,2008-02-14 02:44:23.942400,723.24866
292,2008-02-14 06:22:33.542400,723.6554
293,2008-02-14 10:00:43.142400,721.2593
294,2008-02-14 13:38:52.742400,733.75397
295,2008-02-14 17:17:02.342400,715.4376
296,2008-02-14 20:55:11.942400,721.6898
297,2008-02-15 00:33:21.542400,698.76544
298,2008-02-15 04:11:31.142400,689.44366
299,2008-02-15 07:49:40.742400,636.8221
300,2008-02-15 11:27:50.342400,696.266
301,2008-02-15 15:05:59.942400,699.24054
302,2008-02-15 18:44:09.542400,713.2774
303,2008-02-15 22:22:19.142400,729.35004
304,2008-02-16 02:00:28.742400,723.061
305,2008-02-16 05:38:38.342400,730.8578
306,2008-02-16 09:16:47.942400,716.0002
307,2008-02-16 12:54:57.542400,633.26215
308,2008-02-16 16:33:07.142400,624.7732
309,2008-02-16 20:11:16.742400,653.8083
310,2008-02-16 23:49:26.342400,644.0229
311,2008-02-17 03:27:35.942400,613.2917
312,2008-02-17 07:05:45.542400,620.553
313,2008-02-17 10:43:55.142400,607.8612
314,2008-02-17 14:22:04.742400,554.82855
315,2008-02-17 18:00:14.342400,538.7979
316,2008-02-17 21:38:23.942400,538.63165
317,2008-02-18 01:16:33.542400,563.3332
318,2008-02-18 04:54:43.142400,541.89075
319,2008-02-18 08:32:52.742400,508.66513
320,2008-02-18 12:11:02.342400,519.2681
321,2008-02-18 15:49:11.942400,503.09628
322,2008-02-18 19:27:21.542400,495.0678
323,2008-02-18 23:05:31.142400,499.73987
324,2008-02-19 02:43:40.742400,485.37128
325,2008-02-19 06:21:50.342400,476.96542
326,2008-02-19 09:59:59.942400,458.75522
327,2008-02-19 13:38:09.542400,451.82053
328,2008-02-19 17:16:19.142400,466.59286
329,2008-02-19 20:54:28.742400,449.54276
330,2008-02-20 00:32:38.342400,432.6209
331,2008-02-20 04:10:47.942400,426.26978
332,2008-02-20 07:48:57.542400,485.64853
333,2008-02-20 11:27:07.142400,477.60846
334,2008-02-20 15:05:16.742400,460.72614
335,2008-02-20 18:43:26.342400,440.5269
336,2008-02-20 22:21:35.942400,436.03177
337,2008-02-21 01:59:45.542400,434.0746
338,2008-02-21 05:37:55.142400,439.17038
339,2008-02-21 09:16:04.742400,478.94086
340,2008-02-21 12:54:14.342400,470.11212
341,2008-02-21 16:32:23.942400,449.60043
342,2008-02-21 20:10:33.542400,450.2883
343,2008-02-21 23:48:43.142400,456.34814
344,2008-02-22 03:26:52.742400,456.26068
345,2008-02-22 07:05:02.342400,445.7333
346,2008-02-22 10:43:11.942400,435.74176
347,2008-02-22 14:21:21.542400,430.06018
348,2008-02-22 17:59:31.142400,420.4664
349,2008-02-22 21:37:40.742400,426.64853
350,2008-02-23 01:15:50.342400,438.60907
351,2008-02-23 04:53:59.942400,437.3651
352,2008-02-23 08:32:09.542400,432.14572
353,2008-02-23 12:10:19.142400,384.287
354,2008-02-23 15:48:28.742400,376.91495
355,2008-02-23 19:26:38.342400,369.788
356,2008-02-23 23:04:47.942400,365.17725
357,2008-02-24 02:42:57.542400,366.43927
358,2008-02-24 06:21:07.142400,401.38287
359,2008-02-24 09:59:16.742400,439.73422
360,2008-02-24 13:37:26.342400,422.99197
361,2008-02-24 17:15:35.942400,396.46722
362,2008-02-24 20:53:45.542400,392.065
363,2008-02-25 00:31:55.142400,388.0751
364,2008-02-25 04:10:04.742400,381.5169
365,2008-02-25 07:48:14.342400,414.9834
366,2008-02-25 11:26:23.942400,430.1564
367,2008-02-25 15:04:33.542400,412.9754
368,2008-02-25 18:42:43.142400,403.81308
369,2008-02-25 22:20:52.742400,380.02728
