# time dst_kyoto dst_l1 dst_stb dst_pers
96.00000 -12.00000 -11.22020 -15.80081 -13.06544
97.00000 -10.00000 -9.14787 -14.46586 -10.19644
98.00000 -10.00000 -6.27374 -10.01830 -1.31123
99.00000 -10.00000 -5.28213 -6.27445 -9.81943
100.00000 -4.00000 -2.25120 -8.15422 -11.62787
101.00000 -5.00000 -3.97973 -8.15422 -11.62787
102.00000 -5.00000 -3.97973 -6.90350 -9.64655
103.00000 -2.00000 -1.12446 -2.36081 1.00000
104.00000 -3.00000 -2.79609 -0.42250 -24.90869
105.00000 -3.00000 -2.79609 -0.24695 -24.90869
106.00000 -8.00000 -3.83451 -0.24695 -23.63227
107.00000 -8.00000 -3.83451 0.77247 -16.59470
108.00000 -5.00000 -4.24569 -0.04812 -12.68491
109.00000 -5.00000 -6.46620 -0.25207 -12.68491
110.00000 -14.00000 -17.83860 -23.83431 -6.36313
111.00000 -24.00000 -24.10801 -30.43476 -5.79850
112.00000 -24.00000 -24.10801 -30.43476 -1.51759
113.00000 -7.00000 -5.33945 -30.68433 -1.41310
114.00000 -10.00000 -9.76194 -31.45805 -1.97665
115.00000 -10.00000 -10.73802 -31.45805 -7.94666
116.00000 -10.00000 -12.18484 -27.43371 -13.74110
117.00000 -11.00000 -12.18484 -23.79616 -13.74110
118.00000 -11.00000 -11.66255 -21.04651 -8.99919
119.00000 -33.00000 -38.42394 -55.56426 -1.23573
120.00000 -58.00000 -60.16423 -55.56426 -2.80401
121.00000 -58.00000 -61.15139 -49.08085 -14.13762
122.00000 -47.00000 -61.15139 -49.08085 -14.13762
123.00000 -39.00000 -42.26173 -38.89222 -34.41928
124.00000 -39.00000 -39.82939 -36.82121 -34.41928
125.00000 -34.00000 -33.40958 -28.77922 -28.55965
126.00000 -31.00000 -28.01279 -26.75230 -28.55965
127.00000 -29.00000 -28.01279 -25.33999 -24.50073
128.00000 -23.00000 -21.65815 -25.33999 -33.10974
129.00000 -21.00000 -22.80648 -22.59303 -33.10974
130.00000 -24.00000 -22.80648 -18.10654 -20.94063
131.00000 -24.00000 -20.61879 -15.82250 -17.80447
132.00000 -16.00000 -16.01451 -12.12393 -16.91814
133.00000 -13.00000 -14.08964 -11.25301 -12.26058
134.00000 -12.00000 -12.80663 -7.72053 -11.83404
135.00000 -12.00000 -9.44989 -7.51858 -8.65864
136.00000 -12.00000 -6.91006 -5.33716 -8.65864
137.00000 -12.00000 -9.19670 -5.33716 -7.06486
138.00000 -12.00000 -9.19670 -3.50502 -7.26530
139.00000 -3.00000 -4.57183 -3.50502 -7.26530
140.00000 1.00000 1.00000 -0.26039 -3.66015
141.00000 -1.00000 -1.86728 -3.85470 -0.16032
142.00000 -6.00000 -3.89819 -5.01291 -1.33692
143.00000 -9.00000 -4.25115 -7.24695 -28.64374
144.00000 -9.00000 -10.76366 -9.47017 -28.64374
145.00000 -12.00000 -10.76366 -9.47017 -11.74840
146.00000 -12.00000 -6.06288 -7.92514 -8.33094
147.00000 -10.00000 -3.33598 -6.86150 -8.33094
148.00000 -10.00000 -3.33598 -6.86150 -7.80305
149.00000 -5.00000 -0.17268 -4.30470 -6.50391
150.00000 -5.00000 -0.17268 -2.52063 -4.82608
151.00000 -10.00000 -8.01512 -9.88972 -1.50154
152.00000 -20.00000 -11.92054 -12.05585 -1.44343
153.00000 -20.00000 -11.92054 -12.05585 -0.32504
154.00000 -13.00000 -11.45903 -4.32985 1.00000
155.00000 -14.00000 -8.53510 -6.05194 1.00000
156.00000 -15.00000 -8.94904 -8.41588 0.87978
157.00000 -16.00000 -8.94904 -9.97074 -0.17386
158.00000 -16.00000 -8.69195 -10.34673 -0.74864
159.00000 -11.00000 -8.18741 -10.34673 -2.39846
160.00000 -13.00000 -14.97722 -6.16188 -3.49821
161.00000 -21.00000 -14.97722 -5.93207 -19.78395
162.00000 -21.00000 -12.42115 -12.63416 -19.78395
163.00000 -23.00000 -7.66865 -23.08166 -3.45877
164.00000 -23.00000 -7.66865 -23.08166 -2.55615
165.00000 -16.00000 -5.92086 -14.47004 -5.89390
166.00000 -17.00000 -12.02036 -15.00897 -6.77058
167.00000 -19.00000 -12.02036 -15.00897 -7.41572
168.00000 -19.00000 -8.43333 -12.88354 -7.41572
169.00000 -12.00000 -7.16819 -12.88354 -21.40250
170.00000 -12.00000 -5.25104 -8.64329 -30.53197
171.00000 -10.00000 -7.35824 -11.99433 -49.31611
172.00000 -7.00000 -7.35824 -11.99433 -57.68159
173.00000 -6.00000 -2.72185 -5.23013 -57.68159
174.00000 -5.00000 -2.34210 -4.84334 -37.02684
175.00000 -28.00000 -16.14978 -2.01835 -37.02684
176.00000 -28.00000 -16.52742 -0.63495 -28.62212
177.00000 -21.00000 -16.52742 -8.61549 -26.01030
178.00000 -20.00000 -16.02348 -15.42892 -24.41038
179.00000 -20.00000 -16.02348 -15.42892 -20.97385
180.00000 -16.00000 -12.71413 -14.57154 -18.36098
181.00000 -9.00000 -16.56020 -9.75149 -18.36098
182.00000 -11.00000 -16.56020 -5.80290 -16.58547
