# time dst_kyoto dst_l1 dst_stb dst_pers v_l1 v_stb v_pers
733624.33333 -16.00000 -5.08958 -10.64898 -9.00589 381.00000 362.21710 302.12000
733624.37500 -13.00000 -4.14029 -10.02026 -7.08309 375.00000 366.89237 306.56000
733624.41667 -11.00000 -5.03308 -8.57920 -5.77977 373.00000 366.55474 307.48000
733624.45833 -7.00000 -3.86766 -7.65063 -4.07832 368.00000 363.10478 305.44000
733624.50000 -3.00000 -1.77579 -7.46476 -4.33952 359.00000 355.38391 302.96000
733625.29167 -36.00000 -20.94866 -8.68651 10.43948 467.00000 335.40647 366.40000
733625.33333 -25.00000 -17.05238 -8.24237 14.15571 473.00000 331.50625 371.28000
733625.37500 -17.00000 -13.05947 -9.11521 13.79784 479.00000 320.11872 375.92000
733625.41667 -19.00000 -12.99877 -9.60026 7.90826 484.00000 309.17570 376.08000
733625.45833 -17.00000 -11.39818 -10.43126 -0.73836 489.00000 308.00611 381.12000
733625.50000 -10.00000 -7.83683 -9.24006 -5.93274 504.00000 308.21683 397.00000
733625.54167 -7.00000 -8.17872 -10.32937 -6.46708 505.00000 308.89606 399.12000
733625.58333 -12.00000 -9.31889 -4.72310 -5.44705 506.00000 317.04423 365.04000
733625.62500 -14.00000 -8.90688 -1.74421 -3.83012 491.00000 320.68871 340.96000
733625.66667 -16.00000 -8.04426 -3.70678 -0.76885 482.00000 313.71624 367.04000
733625.70833 -17.00000 -8.34429 -3.13088 0.24596 483.00000 321.98884 412.28000
733625.75000 -15.00000 -8.61123 -2.70505 -0.50523 468.00000 331.54109 439.32000
733625.79167 -13.00000 -8.04589 -4.37215 1.26587 472.00000 337.58136 452.72000
733625.83333 -11.00000 -8.43447 -1.80387 3.09694 491.00000 350.28388 443.44000
733625.87500 -10.00000 -7.61722 -1.75723 2.71813 485.00000 356.06733 418.56000
733625.91667 -11.00000 -11.47351 -4.18180 -0.38923 482.00000 370.82850 416.32000
733625.95833 -11.00000 -11.18653 -6.06482 -4.10068 493.00000 394.71434 446.36000
733626.00000 -7.00000 -9.44600 -6.09902 -6.00452 490.00000 406.06434 463.36000
733626.04167 -10.00000 -8.42251 -5.46645 -5.20559 494.00000 409.34076 457.40000
733626.08333 -12.00000 -9.72171 -3.39078 -4.47992 497.00000 412.01797 453.44000
733626.12500 -12.00000 -9.55296 -0.36562 -4.43923 491.00000 403.74244 457.20000
733626.16667 -15.00000 -8.34377 -0.89407 -5.33673 492.00000 392.52714 456.28000
733626.20833 -15.00000 -7.75969 0.14504 -5.53014 494.00000 374.83777 448.40000
733626.25000 -15.00000 -8.27951 0.75541 -5.60597 484.00000 378.80842 442.88000
733626.29167 -14.00000 -7.80109 -0.36672 -6.36290 478.00000 363.05464 443.12000
733626.33333 -15.00000 -8.18033 -0.79016 -6.39887 476.00000 351.94870 442.36000
733626.37500 -9.00000 -4.72720 -0.26861 -6.54408 483.00000 342.49940 440.04000
733626.41667 -6.00000 -1.23531 -0.90770 -6.12079 481.00000 333.09460 445.16000
733626.45833 0.00000 -3.17986 -2.65093 -4.64297 476.00000 341.97024 449.00000
733626.50000 -3.00000 -7.05887 -0.50226 -3.23794 462.00000 343.85534 445.88000
733626.54167 -9.00000 -6.10042 -1.21678 -3.11671 458.00000 330.41160 440.40000
733626.58333 -10.00000 -5.96271 -1.21575 -2.96156 457.00000 337.96399 438.00000
733626.62500 -11.00000 -2.09737 -0.50343 -2.42289 473.00000 345.52950 438.00000
733626.66667 -8.00000 -0.04521 -3.43656 -2.12109 469.00000 350.48440 435.40000
733626.70833 -9.00000 -1.21271 -5.61501 -1.70350 465.00000 361.80830 429.88000
733626.75000 -11.00000 -2.46181 -5.79559 -2.48587 449.00000 375.83110 425.44000
733626.79167 -13.00000 -4.57819 -4.94560 -3.69892 452.00000 370.26912 428.16000
733626.83333 -12.00000 -5.94018 -4.96073 -4.34447 450.00000 373.98431 431.48000
733626.87500 -15.00000 -8.90000 -4.95267 -3.74855 443.00000 378.79207 432.04000
733626.91667 -17.00000 -10.31680 -4.10205 -3.99742 439.00000 386.72633 433.00000
733626.95833 -10.00000 -8.42683 -3.44942 -3.86917 456.00000 383.54414 434.04000
733627.00000 -7.00000 -8.59438 -3.36789 -4.14349 473.00000 367.67891 432.92000
733627.04167 -6.00000 -7.22359 -2.32085 -4.00435 470.00000 367.89059 432.56000
733627.08333 -3.00000 -6.27477 -1.64070 -4.10645 506.00000 368.90716 433.48000
733627.12500 -5.00000 -6.20141 -2.60910 -4.48653 504.00000 363.52884 431.44000
733627.16667 -10.00000 -7.78555 -2.84800 -3.94261 513.00000 361.88923 430.00000
733627.20833 -13.00000 -9.53034 -3.03620 -4.03229 506.00000 362.47608 420.12000
733627.25000 -12.00000 -8.68869 -3.56476 -4.02933 515.00000 361.32535 407.36000
733627.29167 -11.00000 -9.42519 -3.91405 -4.08458 510.00000 362.71632 401.40000
733627.33333 -10.00000 -8.93390 -4.14630 -4.54972 494.00000 363.14601 401.08000
733627.37500 -10.00000 -7.72362 -3.37716 -4.50502 490.00000 354.92117 406.12000
733627.41667 -10.00000 -7.39990 -2.66880 -3.84502 484.00000 350.91225 406.92000
733627.45833 -12.00000 -7.31756 -2.15799 -3.79302 477.00000 349.77672 402.40000
733627.50000 -11.00000 -6.44652 -1.68513 -3.92774 472.00000 350.14697 398.44000
733627.54167 -9.00000 -5.94044 -1.47718 -3.74762 467.00000 348.98093 395.96000
733627.58333 -9.00000 -5.43937 -0.74276 -3.18786 462.00000 346.58476 395.52000
733627.62500 -9.00000 -5.14185 -0.81956 -2.95926 455.00000 342.89887 391.84000
733627.66667 -7.00000 -4.35387 -0.11748 -3.12265 449.00000 343.49329 386.44000
733627.70833 -6.00000 -2.95447 0.00947 -2.92205 448.00000 345.30328 382.92000
733627.75000 -6.00000 -3.15459 1.38706 -3.21655 443.00000 347.88766 380.48000
733627.79167 -6.00000 -3.24532 2.74701 -3.51803 436.00000 348.46190 378.96000
733627.83333 -3.00000 -2.77815 3.84520 -3.16555 439.00000 343.66072 377.48000
733627.87500 -2.00000 -1.50977 4.70712 -3.03706 436.00000 338.50121 377.52000
733627.91667 0.00000 0.31731 3.60056 -3.87596 437.00000 334.00209 375.92000
733627.95833 3.00000 2.83656 3.71388 -3.53539 440.00000 330.22779 374.00000
733628.00000 4.00000 3.71681 3.41450 -3.57762 427.00000 326.35095 371.92000
733628.04167 1.00000 1.17098 1.06922 -3.99754 425.00000 329.56877 369.48000
733628.08333 5.00000 5.92289 -1.36879 -3.93381 421.00000 321.43751 370.56000
733628.12500 0.00000 0.96487 -1.73374 -3.06544 422.00000 320.93988 371.48000
733628.16667 -7.00000 -2.01237 -3.65815 -2.74175 432.00000 322.96823 367.88000
733628.20833 -15.00000 -4.30541 -4.42460 -2.55956 440.00000 325.21579 363.96000
733628.25000 -16.00000 -5.57299 -4.34293 -2.48621 436.00000 328.41620 358.32000
733628.29167 -13.00000 -7.31928 -2.59541 -2.36210 439.00000 335.43859 353.48000
733628.33333 -13.00000 -9.43020 -2.10324 -2.06170 434.00000 331.19221 351.44000
733628.37500 -17.00000 -12.45764 4.09164 -1.95402 436.00000 345.10159 345.84000
733628.41667 -21.00000 -13.97615 6.58237 -1.85095 433.00000 352.25340 342.00000
733629.75000 -4.00000 -0.59636 -21.46210 -7.36430 363.00000 460.29462 531.92000
733629.79167 -2.00000 -1.58379 -22.98363 -8.94690 361.00000 487.45855 525.32000
733629.83333 1.00000 1.69856 -23.40960 -8.54045 365.00000 493.42272 518.40000
733629.87500 1.00000 1.72301 -20.19729 -8.08814 366.00000 489.87333 523.28000
733629.91667 2.00000 0.87657 -21.60145 -9.40370 361.00000 476.14104 527.92000
733629.95833 4.00000 0.94950 -20.24243 -10.58260 359.00000 476.35718 516.64000
733630.00000 4.00000 0.01957 -18.34439 -10.61909 353.00000 467.46661 516.32000
733630.04167 0.00000 0.11827 -17.89628 -10.02071 354.00000 460.77746 524.52000
733630.08333 0.00000 1.53015 -15.57665 -9.06453 355.00000 455.13542 525.00000
733630.12500 -1.00000 2.16610 -15.18517 -8.73713 350.00000 450.51747 522.40000
733630.16667 0.00000 1.95253 -14.13293 -8.74859 348.00000 448.19699 514.80000
733630.20833 0.00000 1.82838 -12.72522 -9.18032 345.00000 459.28913 504.28000
733630.25000 -1.00000 2.75235 -13.56543 -8.72497 343.00000 488.24256 496.92000
733630.29167 0.00000 2.45277 -12.53294 -8.72170 343.00000 454.25367 490.32000
733630.33333 1.00000 2.58649 -11.96714 -7.82723 345.00000 444.57140 475.60000
733630.37500 1.00000 2.94407 -11.87590 -7.51648 344.00000 450.04449 467.04000
733630.41667 1.00000 2.53446 -10.93018 -7.19574 341.00000 460.42600 467.48000
733630.45833 -2.00000 1.47755 -11.36441 -6.31979 337.00000 441.06444 467.52000
733630.50000 -4.00000 1.25456 -11.24784 -4.57852 341.00000 445.21295 474.76000
733630.54167 -4.00000 1.17643 -11.05901 -3.76012 343.00000 440.87515 477.36000
733630.58333 -3.00000 2.41291 -11.13794 -3.90792 342.00000 438.02209 470.36000
733630.62500 0.00000 2.71627 -11.06263 -2.77295 342.00000 442.30037 465.96000
733630.66667 1.00000 1.00374 -10.44725 -3.08975 339.00000 440.47562 466.04000
733630.70833 -3.00000 -1.47543 -9.96548 -3.39168 342.00000 435.74438 467.00000
733630.75000 -6.00000 -2.59025 -10.17369 -4.75891 342.00000 427.16918 465.44000
733630.79167 -5.00000 -2.94924 -9.84372 -6.40355 341.00000 415.95299 462.96000
733630.83333 -4.00000 -2.79977 -10.75482 -7.77463 346.00000 414.78982 459.40000
733630.87500 -4.00000 -2.03598 -10.78613 -8.44455 349.00000 430.49148 457.52000
733630.91667 -4.00000 -3.84104 -11.90392 -9.12716 348.00000 419.97850 455.40000
733630.95833 -4.00000 -4.41974 -12.06405 -8.81707 345.00000 412.96322 450.40000
733631.00000 -1.00000 -2.41843 -11.76954 -8.42412 345.00000 411.97227 450.60000
733631.04167 -2.00000 -2.69094 -12.24409 -8.26623 347.00000 410.05670 446.24000
733631.08333 -3.00000 -1.96664 -12.13005 -8.03178 349.00000 408.77719 438.44000
733631.12500 -5.00000 -0.27022 -14.17471 -7.87945 347.00000 399.73278 434.92000
733631.16667 -5.00000 -1.04888 -15.38629 -7.90829 348.00000 400.55494 432.48000
733631.20833 -6.00000 -0.55394 -14.65638 -7.39145 341.00000 397.85173 428.88000
733631.25000 -3.00000 -0.93625 -11.51114 -7.19780 351.00000 417.00387 420.80000
733631.29167 -3.00000 -2.50566 -14.72848 -7.18199 351.00000 367.59228 414.44000
733631.33333 -5.00000 -3.18075 -15.28848 -6.62027 349.00000 374.11698 413.00000
733631.37500 -7.00000 -4.18731 -15.27561 -6.70774 349.00000 370.96470 412.48000
733631.41667 -8.00000 -5.49907 -15.11211 -6.25347 349.00000 357.92952 409.92000
733631.45833 -10.00000 -7.18870 -13.86552 -6.02569 358.00000 356.04298 408.52000
733631.50000 -12.00000 -8.67947 -12.27279 -5.82483 356.00000 354.14585 406.40000
733631.54167 -8.00000 -7.21667 -11.44144 -5.69223 363.00000 349.56206 402.96000
733631.58333 -4.00000 -4.88308 -12.37264 -6.13046 361.00000 347.62360 401.48000
733631.62500 -1.00000 -3.30120 -12.98679 -6.11473 365.00000 330.72530 404.12000
733631.66667 0.00000 -2.62547 -12.63663 -6.17471 365.00000 329.60500 397.64000
733631.70833 -2.00000 -2.04262 -12.39551 -6.11787 366.00000 320.11942 387.44000
733631.75000 -4.00000 -1.66795 -12.37954 -5.69825 360.00000 327.30005 385.48000
733631.79167 -4.00000 -0.50001 -11.50412 -5.00975 360.00000 333.45609 382.40000
733631.83333 -4.00000 -1.43648 -10.85887 -4.58459 363.00000 332.66648 377.92000
733631.87500 -7.00000 -4.13104 -6.79373 -4.01798 363.00000 338.23421 372.36000
733631.91667 -9.00000 -5.82316 -6.24977 -5.42235 358.00000 343.36841 369.52000
733631.95833 -9.00000 -7.01015 -7.77808 -4.74200 347.00000 341.04090 371.04000
733632.00000 -11.00000 -7.14679 -8.75701 -4.92815 352.00000 339.54387 368.88000
733632.04167 -13.00000 -7.18543 -9.31555 -5.03395 338.00000 341.77855 362.88000
733632.08333 -11.00000 -5.23684 -8.07694 -5.28250 340.00000 335.31028 358.44000
733632.12500 -8.00000 -3.76591 -7.81677 -5.10835 347.00000 330.61350 356.48000
733632.16667 -7.00000 -4.78703 -9.96376 -5.19805 341.00000 333.16063 352.88000
733632.20833 -9.00000 -4.53183 -10.86267 -4.91046 344.00000 332.67569 347.92000
733632.25000 -10.00000 -5.17168 -9.00798 -4.36797 344.00000 321.00009 348.60000
733632.29167 -10.00000 -4.20141 -9.57087 -3.31151 343.00000 321.03867 349.96000
733632.33333 -10.00000 -3.11980 -9.94864 -3.11603 348.00000 320.66055 348.48000
733632.37500 -10.00000 -3.97715 -11.02533 -3.01449 346.00000 313.42533 348.00000
733632.41667 -9.00000 -4.27499 -10.47298 -2.64589 344.00000 324.32432 350.60000
733632.45833 -4.00000 -4.21886 -10.98964 -1.99307 346.00000 330.45118 352.48000
733632.50000 -2.00000 -3.94591 -10.41510 -1.90166 346.00000 314.11479 348.88000
733632.54167 -3.00000 -4.71393 -9.00226 -1.82584 345.00000 324.74118 344.44000
733632.58333 -4.00000 -4.19260 -8.93462 -1.27448 346.00000 315.54756 342.48000
733632.62500 -6.00000 -4.26871 -9.80605 -0.95450 327.00000 313.36989 341.48000
733632.66667 -6.00000 -3.52436 -8.98133 -0.71113 333.00000 316.98921 342.04000
733632.70833 -7.00000 -2.69811 -9.00274 -0.43061 328.00000 314.46521 342.48000
733632.75000 -6.00000 -1.94643 -8.81480 -0.39391 325.00000 307.43046 342.00000
733632.79167 -2.00000 -1.66869 -8.85535 -0.75172 328.00000 309.37312 339.92000
733632.83333 -2.00000 -2.67498 -8.37415 -1.79634 333.00000 310.97665 337.48000
733632.87500 -2.00000 -2.20513 -9.04985 -2.89289 336.00000 307.94772 336.48000
733632.91667 -4.00000 -3.61920 -10.62904 -3.66744 334.00000 304.71543 333.40000
733632.95833 -5.00000 -3.49650 -10.07312 -3.47279 332.00000 304.37803 331.00000
733633.00000 -5.00000 -3.19562 -9.03513 -2.32281 329.00000 303.84041 329.96000
733633.04167 -8.00000 -3.23907 -8.70602 -0.56895 327.00000 300.83478 332.12000
733633.08333 -11.00000 -3.61131 -8.87812 0.40939 325.00000 301.12691 330.84000
733633.12500 -13.00000 -4.08806 -9.10576 0.23085 324.00000 304.04787 324.40000
733633.16667 -10.00000 -4.22184 -8.95216 1.05776 322.00000 308.01194 321.48000
733633.20833 -12.00000 -4.81272 -8.09176 1.53657 322.00000 309.28015 320.48000
733633.25000 -12.00000 -5.26316 -7.70031 1.38791 323.00000 300.86488 317.40000
733633.29167 -10.00000 -6.08752 -6.96410 1.36988 322.00000 294.55573 312.92000
733633.33333 -9.00000 -6.83835 -6.85132 1.61400 323.00000 291.17097 309.96000
733633.37500 -10.00000 -7.19405 -7.21540 1.65342 326.00000 298.63169 307.96000
733633.41667 -11.00000 -7.04466 -7.07021 2.07111 323.00000 290.34841 305.96000
733633.45833 -10.00000 -6.80232 -6.49675 2.82021 318.00000 289.88272 302.92000
733633.50000 -7.00000 -6.91496 -6.84651 3.52588 312.00000 291.12584 300.48000
733633.54167 -3.00000 -5.07417 -7.53397 4.06354 309.00000 294.66515 298.96000
733633.58333 -2.00000 -3.78462 -6.87189 4.80313 313.00000 289.86066 296.44000
733633.62500 -2.00000 -2.95221 -6.82502 5.48409 315.00000 292.95623 293.96000
733633.66667 -5.00000 -2.52978 -7.47198 6.01266 316.00000 298.52464 293.52000
733633.70833 -7.00000 -1.92537 -7.43567 6.41500 318.00000 304.08954 294.00000
733633.75000 -7.00000 -1.97526 -6.17461 6.55907 318.00000 308.11673 292.96000
733633.79167 -7.00000 -1.33916 -6.19931 6.32582 316.00000 307.61933 291.48000
733633.83333 -6.00000 -1.01343 -7.39770 5.96568 304.00000 302.90133 291.00000
733633.87500 -5.00000 -1.11908 -7.33743 6.79528 304.00000 304.09559 288.92000
733633.91667 -6.00000 -3.33066 -8.60922 5.60025 304.00000 307.29960 288.04000
733633.95833 -6.00000 -4.35100 -9.24593 4.09607 300.00000 304.21998 294.20000
733634.00000 -6.00000 -6.23539 -9.09518 3.18092 297.00000 298.09561 302.64000
733634.04167 -6.00000 -4.21713 -8.65840 2.77072 302.00000 301.61010 305.48000
733634.08333 -6.00000 -3.18330 -8.37247 2.48763 301.00000 300.44427 306.56000
733634.12500 -5.00000 -2.77943 -8.70273 2.87923 307.00000 299.01807 308.52000
733634.16667 -5.00000 -3.07836 -8.56565 3.21411 299.00000 301.85436 308.48000
733634.20833 -4.00000 -3.07777 -7.74821 3.31974 297.00000 302.16303 308.00000
733634.25000 -6.00000 -3.78564 -7.39402 3.22701 300.00000 302.73257 305.92000
733634.29167 -7.00000 -3.89718 -6.96682 3.33227 298.00000 303.58995 301.40000
733634.33333 -7.00000 -3.79641 -6.44816 3.49552 298.00000 302.05117 297.96000
733634.37500 -4.00000 -2.79329 -5.70698 4.07370 292.00000 302.54028 295.44000
733634.41667 -3.00000 -2.18677 -5.80505 4.79249 292.00000 302.57308 294.00000
733634.45833 -2.00000 -1.21526 -5.70641 5.85674 296.00000 301.03869 293.48000
733634.50000 -3.00000 -2.25668 -5.37363 6.18510 295.00000 300.53178 291.96000
733634.54167 -3.00000 -2.12612 -4.60228 5.96205 296.00000 298.76080 290.48000
733634.58333 -3.00000 -2.69995 -4.34246 5.02977 294.00000 296.97376 289.48000
733634.62500 -2.00000 -1.61165 -4.40183 4.38466 293.00000 297.55106 289.52000
733634.66667 -2.00000 -0.77541 -3.60288 4.19164 292.00000 299.97339 289.48000
733634.70833 -3.00000 -0.33106 -3.00679 4.24664 289.00000 300.56053 289.52000
733634.75000 -4.00000 -0.71574 -3.82049 3.86185 288.00000 301.30279 288.96000
733634.79167 -7.00000 -1.10975 -3.79365 3.66957 287.00000 303.75930 287.48000
733634.83333 -6.00000 -0.22398 -3.42908 3.69781 283.00000 303.40927 286.48000
733634.87500 -2.00000 0.86953 -2.88607 3.83436 281.00000 303.93036 285.48000
733634.91667 0.00000 -0.90137 -4.10248 3.33917 282.00000 303.17235 284.48000
733634.95833 1.00000 -1.56992 -4.12907 3.67343 283.00000 302.47410 284.52000
733635.00000 2.00000 -1.67953 -3.58107 4.33294 282.00000 302.72581 284.48000
733635.04167 0.00000 -1.37053 -3.90221 4.64280 282.00000 302.39940 284.00000
733635.08333 -2.00000 -1.14988 -3.84933 5.43660 280.00000 303.04378 282.96000
733635.12500 -3.00000 -0.84064 -3.45908 6.18387 278.00000 301.42465 282.00000
733635.16667 -5.00000 -0.87713 -3.39859 6.07323 277.00000 291.03275 282.52000
733635.20833 -3.00000 -0.47860 -1.80597 6.22912 277.00000 287.11914 283.52000
733635.25000 -1.00000 0.18813 -3.28300 7.01433 274.00000 287.00000 285.56000
733635.29167 2.00000 -0.07405 -1.81420 7.43463 274.00000 286.02236 287.52000
733635.33333 2.00000 0.17351 -2.00422 7.98885 274.00000 284.93551 285.92000
733635.37500 2.00000 -0.18250 -1.61517 9.00910 274.00000 284.92995 285.04000
733635.41667 0.00000 -0.83152 -1.59808 10.43693 274.00000 282.84537 287.04000
733635.45833 -4.00000 -0.33606 -1.80159 12.55982 274.00000 281.16415 288.52000
733635.50000 -5.00000 0.15464 -1.47527 14.57533 273.00000 281.93283 292.64000
733635.54167 -5.00000 0.50929 -1.30690 14.18611 272.00000 281.93286 306.40000
